__run_id,__done,data_type,avg_cpu,total_energy,,,,,,,,,,,
run_22,DONE,txt-small-low-23, , ,"{0: '2023-10-05 13:36:45', 1: '2023-10-05 13:36:46'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7497299850976216, 1: 1.7497299850976216}","{0: 1.0, 1: 1.0}","{0: 3834.1279296875, 1: 3834.1279296875}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2304.936879361183, 1: 2304.936879361183}"
run_23,DONE,txt-small-low-24, , ,"{0: '2023-10-05 13:36:49', 1: '2023-10-05 13:36:50'}","{0: 0.23958, 1: 0.255}","{0: 3.37207, 1: 3.44197}","{0: 3.37207, 1: 3.44197}","{0: 0.0, 1: 0.0}","{0: 1.751193480911442, 1: 1.751193480911442}","{0: 1.0, 1: 1.0}","{0: 3649.0947265625, 1: 3649.0947265625}","{0: 6.81404, 1: 6.81404}","{0: 0.24729, 1: 0.24729}","{0: 2165.578365536148, 1: 2165.578365536148}"
run_24,DONE,txt-small-low-25, , ,"{0: '2023-10-05 13:36:52', 1: '2023-10-05 13:36:53'}","{0: 0.23724, 1: 0.25255}","{0: 3.36146, 1: 3.43087}","{0: 3.36146, 1: 3.43087}","{0: 0.0, 1: 0.0}","{0: 1.7539954000869762, 1: 1.7539954000869762}","{0: 1.0, 1: 1.0}","{0: 3553.94921875, 1: 3553.94921875}","{0: 6.79233, 1: 6.79233}","{0: 0.244895, 1: 0.244895}","{0: 2136.5473504462193, 1: 2136.5473504462193}"
run_25,DONE,txt-small-low-26, , ,"{0: '2023-10-05 13:36:56', 1: '2023-10-05 13:36:57'}","{0: 0.2375, 1: 0.2551}","{0: 3.36262, 1: 3.44243}","{0: 3.36262, 1: 3.44243}","{0: 0.0, 1: 0.0}","{0: 1.7508307894548785, 1: 1.7508307894548785}","{0: 1.0, 1: 1.0}","{0: 3632.2333984375, 1: 3632.2333984375}","{0: 6.80505, 1: 6.80505}","{0: 0.2463, 1: 0.2463}","{0: 2167.095324190276, 1: 2167.095324190276}"
run_26,DONE,txt-small-low-27, , ,"{0: '2023-10-05 13:37:00', 1: '2023-10-05 13:37:01'}","{0: 0.23724, 1: 0.255}","{0: 3.36146, 1: 3.44197}","{0: 3.36146, 1: 3.44197}","{0: 0.0, 1: 0.0}","{0: 1.7230487181491547, 1: 1.7230487181491547}","{0: 1.0, 1: 1.0}","{0: 3450.5537109375, 1: 3450.5537109375}","{0: 6.8034300000000005, 1: 6.8034300000000005}","{0: 0.24612, 1: 0.24612}","{0: 2060.6961743535903, 1: 2060.6961743535903}"
run_27,DONE,txt-small-low-28, , ,"{0: '2023-10-05 13:37:03', 1: '2023-10-05 13:37:04'}","{0: 0.2375, 1: 0.25}","{0: 3.36262, 1: 3.4193}","{0: 3.36262, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7530353180118887, 1: 1.7530353180118887}","{0: 1.0, 1: 1.0}","{0: 4104.5263671875, 1: 4104.5263671875}","{0: 6.7819199999999995, 1: 6.7819199999999995}","{0: 0.24375, 1: 0.24375}","{0: 2482.937358749629, 1: 2482.937358749629}"
run_28,DONE,txt-small-low-29, , ,"{0: '2023-10-05 13:37:07', 1: '2023-10-05 13:37:08'}","{0: 0.23214, 1: 0.2525}","{0: 3.33833, 1: 3.43064}","{0: 3.33833, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.746289158997352, 1: 1.746289158997352}","{0: 1.0, 1: 1.0}","{0: 3444.361328125, 1: 3444.361328125}","{0: 6.7689699999999995, 1: 6.7689699999999995}","{0: 0.24232, 1: 0.24232}","{0: 2099.891496432832, 1: 2099.891496432832}"
run_29,DONE,txt-small-low-30, , ,"{0: '2023-10-05 13:37:11', 1: '2023-10-05 13:37:12'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7466580971958479, 1: 1.7466580971958479}","{0: 1.0, 1: 1.0}","{0: 3248.0888671875, 1: 3248.0888671875}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 1952.6317208808298, 1: 1952.6317208808298}"
run_30,DONE,txt-small-low-31, , ,"{0: '2023-10-05 13:37:14', 1: '2023-10-05 13:37:15'}","{0: 0.24219, 1: 0.2525}","{0: 3.38387, 1: 3.43064}","{0: 3.38387, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7563272398074001, 1: 1.7563272398074001}","{0: 1.0, 1: 1.0}","{0: 3548.2021484375, 1: 3548.2021484375}","{0: 6.81451, 1: 6.81451}","{0: 0.24734499999999998, 1: 0.24734499999999998}","{0: 2105.089600076477, 1: 2105.089600076477}"
run_31,DONE,txt-small-low-32, , ,"{0: '2023-10-05 13:37:18', 1: '2023-10-05 13:37:19'}","{0: 0.24235, 1: 0.2575}","{0: 3.3846, 1: 3.45331}","{0: 3.3846, 1: 3.45331}","{0: 0.0, 1: 0.0}","{0: 1.7491033896645647, 1: 1.7491033896645647}","{0: 1.0, 1: 1.0}","{0: 3646.2666015625, 1: 3646.2666015625}","{0: 6.83791, 1: 6.83791}","{0: 0.249925, 1: 0.249925}","{0: 2133.611474737422, 1: 2133.611474737422}"
