__run_id,__done,data_type,avg_cpu,total_energy,,,,,,,,,,,
run_22,DONE,txt-small-low-23, , ,"{0: '2023-10-04 20:49:47', 1: '2023-10-04 20:49:48'}","{0: 0.235, 1: 0.2551}","{0: 3.35128, 1: 3.44243}","{0: 3.35128, 1: 3.44243}","{0: 0.0, 1: 0.0}","{0: 1.7497299850976216, 1: 1.7497299850976216}","{0: 1.0, 1: 1.0}","{0: 3834.1279296875, 1: 3834.1279296875}","{0: 6.79371, 1: 6.79371}","{0: 0.24505, 1: 0.24505}","{0: 2303.0580683627068, 1: 2303.0580683627068}"
run_23,DONE,txt-small-low-24, , ,"{0: '2023-10-04 20:49:51', 1: '2023-10-04 20:49:52'}","{0: 0.2425, 1: 0.25}","{0: 3.38529, 1: 3.4193}","{0: 3.38529, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.751193480911442, 1: 1.751193480911442}","{0: 1.0, 1: 1.0}","{0: 3649.0947265625, 1: 3649.0947265625}","{0: 6.804589999999999, 1: 6.804589999999999}","{0: 0.24625, 1: 0.24625}","{0: 2177.744550086202, 1: 2177.744550086202}"
run_24,DONE,txt-small-low-25, , ,"{0: '2023-10-04 20:49:55', 1: '2023-10-04 20:49:56'}","{0: 0.24235, 1: 0.25}","{0: 3.3846, 1: 3.4193}","{0: 3.3846, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7539954000869762, 1: 1.7539954000869762}","{0: 1.0, 1: 1.0}","{0: 3553.94921875, 1: 3553.94921875}","{0: 6.8039, 1: 6.8039}","{0: 0.246175, 1: 0.246175}","{0: 2121.8239611328836, 1: 2121.8239611328836}"
run_25,DONE,txt-small-low-26, , ,"{0: '2023-10-04 20:49:59', 1: '2023-10-04 20:50:00'}","{0: 0.24235, 1: 0.25}","{0: 3.3846, 1: 3.4193}","{0: 3.3846, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7508307894548785, 1: 1.7508307894548785}","{0: 1.0, 1: 1.0}","{0: 3632.2333984375, 1: 3632.2333984375}","{0: 6.8039, 1: 6.8039}","{0: 0.246175, 1: 0.246175}","{0: 2168.5621776955254, 1: 2168.5621776955254}"
run_26,DONE,txt-small-low-27, , ,"{0: '2023-10-04 20:50:02', 1: '2023-10-04 20:50:03'}","{0: 0.24, 1: 0.25}","{0: 3.37396, 1: 3.4193}","{0: 3.37396, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7230487181491547, 1: 1.7230487181491547}","{0: 1.0, 1: 1.0}","{0: 3450.5537109375, 1: 3450.5537109375}","{0: 6.79326, 1: 6.79326}","{0: 0.245, 1: 0.245}","{0: 2073.2156133732674, 1: 2073.2156133732674}"
run_27,DONE,txt-small-low-28, , ,"{0: '2023-10-04 20:50:06', 1: '2023-10-04 20:50:07'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7530353180118887, 1: 1.7530353180118887}","{0: 1.0, 1: 1.0}","{0: 4104.5263671875, 1: 4104.5263671875}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2467.4904879378764, 1: 2467.4904879378764}"
run_28,DONE,txt-small-low-29, , ,"{0: '2023-10-04 20:50:10', 1: '2023-10-04 20:50:11'}","{0: 0.24235, 1: 0.25}","{0: 3.3846, 1: 3.4193}","{0: 3.3846, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.746289158997352, 1: 1.746289158997352}","{0: 1.0, 1: 1.0}","{0: 3444.361328125, 1: 3444.361328125}","{0: 6.8039, 1: 6.8039}","{0: 0.246175, 1: 0.246175}","{0: 2056.3964049507726, 1: 2056.3964049507726}"
run_29,DONE,txt-small-low-30, , ,"{0: '2023-10-04 20:50:13', 1: '2023-10-04 20:50:14'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7466580971958479, 1: 1.7466580971958479}","{0: 1.0, 1: 1.0}","{0: 3248.0888671875, 1: 3248.0888671875}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 1952.6317208808298, 1: 1952.6317208808298}"
run_30,DONE,txt-small-low-31, , ,"{0: '2023-10-04 20:50:17', 1: '2023-10-04 20:50:18'}","{0: 0.2725, 1: 0.2551}","{0: 3.52132, 1: 3.44243}","{0: 3.52132, 1: 3.44243}","{0: 0.0, 1: 0.0}","{0: 1.7563272398074001, 1: 1.7563272398074001}","{0: 1.0, 1: 1.0}","{0: 3548.2021484375, 1: 3548.2021484375}","{0: 6.963749999999999, 1: 6.963749999999999}","{0: 0.26380000000000003, 1: 0.26380000000000003}","{0: 1931.4807843104434, 1: 1931.4807843104434}"
run_31,DONE,txt-small-low-32, , ,"{0: '2023-10-04 20:50:21', 1: '2023-10-04 20:50:22'}","{0: 0.23698, 1: 0.2525}","{0: 3.36026, 1: 3.43064}","{0: 3.36026, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7491033896645647, 1: 1.7491033896645647}","{0: 1.0, 1: 1.0}","{0: 3646.2666015625, 1: 3646.2666015625}","{0: 6.7909, 1: 6.7909}","{0: 0.24474, 1: 0.24474}","{0: 2193.896465741455, 1: 2193.896465741455}"
run_32,DONE,txt-small-low-33, , ,"{0: '2023-10-04 20:50:24', 1: '2023-10-04 20:50:25'}","{0: 0.34896, 1: 0.2675}","{0: 3.86802, 1: 3.49865}","{0: 3.86802, 1: 3.49865}","{0: 0.0, 1: 0.0}","{0: 1.7477235560683333, 1: 1.7477235560683333}","{0: 1.0, 1: 1.0}","{0: 3861.9052734375, 1: 3861.9052734375}","{0: 7.36667, 1: 7.36667}","{0: 0.30823, 1: 0.30823}","{0: 1700.808803954725, 1: 1700.808803954725}"
run_33,DONE,txt-small-low-34, , ,"{0: '2023-10-04 20:50:28', 1: '2023-10-04 20:50:29'}","{0: 0.24235, 1: 0.25}","{0: 3.3846, 1: 3.4193}","{0: 3.3846, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.727937636905811, 1: 1.727937636905811}","{0: 1.0, 1: 1.0}","{0: 3718.443359375, 1: 3718.443359375}","{0: 6.8039, 1: 6.8039}","{0: 0.246175, 1: 0.246175}","{0: 2220.0323449788543, 1: 2220.0323449788543}"
run_34,DONE,txt-small-low-35, , ,"{0: '2023-10-04 20:50:32', 1: '2023-10-04 20:50:33'}","{0: 0.2398, 1: 0.255}","{0: 3.37303, 1: 3.44197}","{0: 3.37303, 1: 3.44197}","{0: 0.0, 1: 0.0}","{0: 1.7468344968767149, 1: 1.7468344968767149}","{0: 1.0, 1: 1.0}","{0: 3424.83203125, 1: 3424.83203125}","{0: 6.8149999999999995, 1: 6.8149999999999995}","{0: 0.2474, 1: 0.2474}","{0: 2031.2983754450543, 1: 2031.2983754450543}"
run_35,DONE,txt-small-low-36, , ,"{0: '2023-10-04 20:50:36', 1: '2023-10-04 20:50:37'}","{0: 0.2449, 1: 0.25}","{0: 3.39616, 1: 3.4193}","{0: 3.39616, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7480654974637728, 1: 1.7480654974637728}","{0: 1.0, 1: 1.0}","{0: 3939.943359375, 1: 3939.943359375}","{0: 6.81546, 1: 6.81546}","{0: 0.24745, 1: 0.24745}","{0: 2336.185623587459, 1: 2336.185623587459}"
