,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
2899,lzw-png-small-low-18,1.1564813784834664,23.0,2654.099609375,81.94722,0.2489341666666666,130.1063473880594
2900,lzw-png-small-low-19,1.152006833849594,23.0,2435.6328125,82.85891000000001,0.2573116666666666,114.23866583420303
2901,lzw-png-small-low-20,1.1368222289706782,21.0,2170.8955078125,76.94766999999999,0.2672727272727273,105.55742829486772
2902,lzw-png-small-low-21,1.1442748280990709,24.0,2419.23046875,85.94155,0.2540492,110.80420184385038
2903,lzw-png-small-low-22,1.172706792911418,22.0,2837.3115234375,79.53991999999997,0.258591304347826,137.9456326486292
2904,lzw-png-small-low-23,1.1506680633523034,23.0,2532.8251953125,81.8572,0.2481070833333333,124.71226567624656
2905,lzw-png-small-low-24,1.1397692759412614,20.0,2043.5556640625,72.58843,0.2582238095238096,109.02416891257324
2906,lzw-png-small-low-25,1.146982058054271,21.0,2369.2744140625,75.30510999999998,0.2508068181818182,125.4444866574785
2907,lzw-png-small-low-26,1.1227373730873027,12.0,1292.529296875,44.51962,0.2511653846153846,115.592368318587
2908,lzw-png-small-low-27,1.149311767540646,18.0,1992.7373046875,65.80695,0.2597531578947369,116.57822866244528
2909,lzw-png-small-low-28,1.1372817432461668,18.0,1864.0029296875,64.97802999999999,0.2501315789473683,114.68629575791483
2910,lzw-png-small-low-29,1.1279377424819803,16.0,1564.0458984375,58.18524,0.2507411764705882,107.2040035499039
2911,lzw-png-small-low-30,1.1262993092425482,13.0,1437.8076171875,48.60705,0.2616071428571428,113.07117837121292
2912,lzw-png-small-low-31,1.1323865045379673,17.0,1620.302734375,61.59344999999999,0.2505638888888889,104.98884386761912
2913,lzw-png-small-low-32,1.1314467115955098,19.0,1862.330078125,68.52296999999999,0.25151,108.06006437464656
2914,lzw-png-small-low-33,1.1290003390353085,18.0,1747.1435546875,65.64689,0.2578947368421053,103.1981602369596
2915,lzw-png-small-low-34,1.140811082891395,18.0,1839.126953125,65.05924,0.2510736842105263,112.59044305107388
