,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
67,huffman-pdf-large-low-8,1.025444688555623,44.0,2855.7021484375,144.43953,0.2543523809523809,77.73042358193933
68,huffman-pdf-large-low-9,1.027350577366448,42.0,3093.7158203125,146.49944000000002,0.2472795348837209,85.39968689403679
69,huffman-pdf-large-low-10,1.0262174039497187,42.0,3085.712890625,148.05846,0.2552758139534884,81.64180865631093
70,huffman-pdf-large-high-1,1.003092214401384,114.0,924.498046875,377.9292500000001,0.253621,9.645178774877987
71,huffman-pdf-large-high-2,1.0026331133146469,112.0,754.61328125,368.15277,0.254714953271028,8.047146924061835
72,huffman-pdf-large-high-3,1.0034853925031668,104.0,933.5478515625,340.0951400000001,0.2535296969696969,10.826979653089792
73,huffman-pdf-large-high-4,1.0029888560726692,113.0,880.845703125,376.76663,0.258220366972477,9.053925477846622
74,huffman-pdf-large-high-5,1.0029547288019451,110.0,858.501953125,371.9522500000001,0.2554477777777778,9.035495384594006
75,huffman-pdf-large-high-6,1.0028520863611747,109.0,814.244140625,358.98089000000004,0.2571539423076923,8.820437467914498
76,huffman-pdf-large-high-7,1.0025435414584354,119.0,800.5693359375,402.84007,0.2552435042735043,7.785949636323124
77,huffman-pdf-large-high-8,1.0028960565176772,108.0,792.5859375,353.80254,0.2534573786407767,8.83853889079702
78,huffman-pdf-large-high-9,1.0029145809476516,117.0,889.4912109375,393.69034,0.2575256140350877,8.773370523666134
79,huffman-pdf-large-high-10,1.002842902774597,113.0,847.6298828125,380.3549300000001,0.258485,8.621480763747256
80,huffman-jpg-small-low-1,1.0003732171739614,23.0,22.7783203125,79.23561999999998,0.255674347826087,1.1243825021814997
81,huffman-jpg-small-low-2,1.0003475256949363,21.0,22.1796875,75.17885000000001,0.2495413636363636,1.1822714462423645
82,huffman-jpg-small-low-3,1.0003918335406243,22.0,24.59765625,75.65343,0.2542990909090909,1.2785575978584645
83,huffman-jpg-small-low-4,1.0004098438033389,25.0,30.166015625,88.98655999999998,0.2507196153846154,1.3520888158223503
84,huffman-jpg-small-low-5,1.0004026441703675,22.0,25.78125,78.77028999999999,0.2512121739130434,1.3028692799707826
85,huffman-jpg-small-low-6,1.0004202290808732,25.0,30.0693359375,89.27875,0.2531980769230769,1.3301950678847616
