,Unnamed: 0,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency,size,entropy
2804,2804,huffman-jpg-large-low-40,1.0004220532144934,9.0,12.576171875,34.1923,0.2499849999999999,1.471316815843267,29810.173828125,7.97956438905863
2805,2805,huffman-jpg-large-low-41,1.0005331038242056,10.0,17.4052734375,37.61183,0.249990909090909,1.8511097577065687,32666.3427734375,7.977451567966832
2806,2806,huffman-jpg-large-low-42,1.0003099620275175,12.0,11.34765625,45.53892,0.2684576923076923,0.9282128835421172,36621.1748046875,7.983472657945676
2807,2807,huffman-jpg-large-low-43,1.0003833729901663,9.0,11.54296875,34.94304,0.266541,1.23934669164319,30120.5205078125,7.980557564675385
2808,2808,huffman-jpg-large-low-44,1.0004112715591182,9.0,12.3515625,34.14743,0.248995,1.4526910157626791,30044.9716796875,7.980427487751108
2809,2809,huffman-jpg-large-low-45,1.0003699596061568,10.0,11.51953125,37.57736,0.2493,1.2296634467362042,31148.787109375,7.980843706378578
2810,2810,huffman-jpg-large-low-46,1.0007052397854168,9.0,21.2470703125,34.16987,0.24949,2.492313015940011,30148.6884765625,7.977124196071927
2811,2811,huffman-jpg-large-low-47,1.0003904348935164,10.0,12.1669921875,39.22132,0.2822590909090909,1.0990389520383037,31174.8330078125,7.98040735662247
2812,2812,huffman-jpg-large-low-48,1.000397969915821,10.0,12.255859375,37.89645,0.2556963636363636,1.264796597552536,30808.2001953125,7.980771470550075
2813,2813,huffman-jpg-large-low-49,1.0004007567853916,10.0,12.197265625,37.58986,0.24955,1.300271966272644,30447.7783203125,7.980765826144827
2814,2814,huffman-jpg-large-low-50,1.0004842829461762,11.0,16.4892578125,41.05474,0.250425,1.6038365993597417,34065.298828125,7.9799206199533
2815,2815,huffman-jpg-large-high-1,1.0002645664904144,16.0,12.494140625,59.32783,0.2655635294117647,0.7930115160413167,47237.44921875,7.990067587412469
2816,2816,huffman-jpg-large-high-2,1.0002884176989244,16.0,13.88671875,58.79536999999999,0.2586558823529412,0.9131332402578978,48161.8291015625,7.989858710701524
2817,2817,huffman-jpg-large-high-3,1.0002813919091356,16.0,13.5126953125,58.12764,0.2499941176470588,0.9298855598302846,48034.421875,7.989275783511647
2818,2818,huffman-jpg-large-high-4,1.0002472681333852,16.0,11.904296875,58.85406,0.2594176470588235,0.7797004868279983,48155.17578125,7.990363290222823
