,Unnamed: 0,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency,size,entropy
839,839,lzw-mp4-small-low-40,1.099391458719046,12.0,1019.6796875,44.57677,0.2521346153846153,90.72410606781877,11278.908203125,7.966591653163306
840,840,lzw-mp4-small-low-41,1.121217344499985,21.0,1953.8408203125,75.31575999999998,0.2509136363636364,103.3901228705704,18072.3330078125,7.969991367878744
841,841,lzw-mp4-small-low-42,1.21183904600667,14.0,2389.3818359375,51.33509,0.25067,185.6815997200673,13668.6142578125,7.569502950170668
842,842,lzw-mp4-small-low-43,1.1189033642574062,7.0,750.703125,27.37708,0.250625,109.40992207811004,7064.259765625,7.780147485488505
843,843,lzw-mp4-small-low-44,1.089350430822748,16.0,1072.1748046875,58.15078,0.2502941176470588,73.66469751907029,13071.8349609375,7.985501982360727
844,844,lzw-mp4-small-low-45,1.12007294802414,21.0,1940.6806640625,75.84810999999999,0.25625,99.84939581641616,18103.1943359375,7.97256509522482
845,845,lzw-mp4-small-low-46,1.125474915307789,10.0,1152.6064453125,37.65811,0.2509181818181818,121.980495220413,10338.5576171875,7.903582595780306
846,846,lzw-mp4-small-low-47,1.130477186164497,25.0,2361.7333984375,88.69147999999998,0.2482157692307692,107.28020636137104,20462.4716796875,7.979511897318719
847,847,lzw-mp4-small-low-48,1.073816133409656,11.0,720.3330078125,41.49638,0.2585416666666666,67.14173502467422,10478.8095703125,7.98421166811005
848,848,lzw-mp4-small-low-49,1.0730561342508844,10.0,680.322265625,37.62364,0.2502272727272727,72.26353989961656,9992.64453125,7.986817238815211
849,849,lzw-mp4-small-low-50,1.0790083453194834,12.0,813.5478515625,44.46224,0.2501923076923077,73.13374463743465,11110.5341796875,7.978856263082907
850,850,lzw-mp4-small-high-1,1.0727138594103305,12.0,770.03125,44.47357,0.2503846153846153,69.1510401614265,11359.9140625,7.996141790204967
851,851,lzw-mp4-small-high-2,1.0813082791864053,16.0,975.7373046875,59.36951,0.2661041176470588,61.761502118553366,12976.2041015625,7.9964478178772325
852,852,lzw-mp4-small-high-3,1.0528036114178714,9.0,456.4814453125,34.41186,0.254826,52.056054073231024,9101.3720703125,7.999697414882498
853,853,lzw-mp4-small-high-4,1.020807448757364,4.0,92.1083984375,17.11918,0.251,21.43594090527077,4518.8115234375,7.995645757499077
854,854,lzw-mp4-small-high-5,1.0574095721122427,10.0,533.4267578125,37.68079,0.2513727272727272,56.31662765162313,9825.0263671875,7.999503331119762
855,855,lzw-mp4-small-high-6,1.0582012200371758,9.0,501.716796875,34.21568,0.2505,58.53636299412604,9122.099609375,7.995628712513551
856,856,lzw-mp4-small-high-7,1.0894702116999966,19.0,1189.7373046875,67.1233,0.2750321052631578,64.4457654571631,14487.3173828125,7.994601166753324
857,857,lzw-mp4-small-high-8,1.0760876638032504,13.0,872.423828125,47.91669,0.2507321428571428,72.61572810219975,12338.458984375,7.997346818258296
858,858,lzw-mp4-small-high-9,1.0740347381417183,14.0,858.4833984375,50.3729,0.236524,72.05427154344122,12454.1669921875,7.998873172818609
859,859,lzw-mp4-small-high-10,1.091983007655018,18.0,1299.2109375,66.55673999999999,0.2684557894736842,72.71346692806925,15423.677734375,7.997609139880902
860,860,lzw-mp4-small-high-11,1.0763277987106743,13.0,884.435546875,48.07518,0.2532285714285714,72.64948923487437,12471.767578125,7.997342566353446
861,861,lzw-mp4-small-high-12,1.0661236618400476,11.0,687.65625,41.05428,0.2504166666666667,66.88823316136133,11087.205078125,7.998629239264781
862,862,lzw-mp4-small-high-13,1.0597588472492951,10.0,531.83203125,37.66899,0.2511363636363636,56.2187148071226,9431.46875,7.995126267846931
863,863,lzw-mp4-small-high-14,1.0933617078327715,19.0,1322.0048828125,70.72701,0.2758135,67.76918163802159,15482.0380859375,7.995910965577257
864,864,lzw-mp4-small-high-15,1.029298966478836,5.0,164.69921875,20.50446,0.2495833333333333,32.183081282709395,5786.03125,7.998766940758783
865,865,lzw-mp4-small-high-16,1.0546104537579386,9.0,482.412109375,34.23835,0.251,56.13473181737794,9316.107421875,7.999417810318521
866,866,lzw-mp4-small-high-17,1.079955498508567,16.0,989.3740234375,58.18478,0.250735294117647,67.81654125628337,13363.4326171875,7.998302334798641
867,867,lzw-mp4-small-high-18,1.0635557625601608,10.0,595.662109375,39.14869,0.2808027272727272,54.18529216001336,9967.9375,7.995170683199578
868,868,lzw-mp4-small-high-19,1.056554799354361,9.0,496.623046875,34.35217,0.25351,57.02661567044117,9277.89453125,7.998569369307104
869,869,lzw-mp4-small-high-20,1.084965975462684,17.0,1104.9609375,61.60433,0.2506972222222222,71.54613285098405,14109.70703125,7.998622499809285
870,870,lzw-mp4-small-high-21,1.059328937616274,10.0,542.515625,37.65765,0.2509090909090909,57.41728320036286,9686.71484375,7.9978546492177305
871,871,lzw-mp4-small-high-22,1.071096168452172,12.0,747.763671875,46.10806999999999,0.2781123076923076,58.31324501740566,11265.400390625,7.9947547539925665
872,872,lzw-mp4-small-high-23,1.087967914554235,18.0,1190.830078125,65.29845999999999,0.2538505263157895,71.84040771449509,14727.92578125,7.99823427638178
873,873,lzw-mp4-small-high-24,1.071138440368793,13.0,784.361328125,47.53332999999999,0.2446935714285714,67.43655451936802,11810.205078125,7.997739917326796
874,874,lzw-mp4-small-high-25,1.0679520413839243,11.0,688.353515625,41.08944,0.2510625,66.72667176293562,10818.34375,7.995042375558966
875,875,lzw-mp4-small-high-26,1.0304423667035798,5.0,161.7724609375,20.9239,0.265,29.17535051999307,5475.8291015625,7.995168994649605
876,876,lzw-mp4-small-high-27,1.0725901565296916,13.0,813.5859375,48.01757999999999,0.2523214285714285,67.15046585525633,12021.5234375,7.998831858447014
877,877,lzw-mp4-small-high-28,1.0707526367703646,12.0,779.927734375,44.46224,0.2501923076923077,70.111469966868,11803.23046875,7.99917094296252
878,878,lzw-mp4-small-high-29,1.088759816668848,18.0,1166.83984375,65.04606,0.2509210526315789,71.49129339862608,14312.876953125,7.995005174948133
879,879,lzw-mp4-small-high-30,1.0902590092541118,18.0,1255.42578125,66.44040999999999,0.2671052631578948,70.74183054212727,15164.572265625,7.998379860975353
880,880,lzw-mp4-small-high-31,1.0391138570693934,7.0,256.2587890625,27.37708,0.250625,37.347991781916406,6807.8701171875,7.997311841970207
881,881,lzw-mp4-small-high-32,1.0666886666123443,12.0,688.9521484375,44.50759,0.2509615384615384,61.68048955546907,11019.8251953125,7.998825263114332
882,882,lzw-mp4-small-high-33,1.067647869540734,11.0,681.1298828125,41.08829999999999,0.2510416666666666,66.03374855991504,10749.8857421875,7.996425274953051
883,883,lzw-mp4-small-high-34,1.0424288818800562,8.0,296.5595703125,32.13774,0.2834244444444444,32.558119048688695,7286.1279296875,7.998047256107901
884,884,lzw-mp4-small-high-35,1.0838779633681923,16.0,1045.05078125,58.32405,0.2525417647058823,70.95067144168863,13504.232421875,7.9946547013906155
885,885,lzw-mp4-small-high-36,1.0237908465408947,4.0,110.5322265625,16.8789,0.240402,27.23997482962382,4756.5302734375,7.996241805894472
886,886,lzw-mp4-large-low-1,1.1258556883816446,27.0,2488.3154296875,97.99443,0.2677532142857143,94.83515281834718,22259.4951171875,7.99282537461529
887,887,lzw-mp4-large-low-2,1.1472639778377989,32.0,3447.4189453125,112.93985999999998,0.2506878787878788,121.7624795382596,26857.2099609375,7.992214777135196
888,888,lzw-mp4-large-low-3,1.1301574985121314,28.0,2682.8935546875,101.79281,0.2700237931034482,97.60775077772529,23295.5634765625,7.9943792017152795
