,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
1022,huffman-flv-small-high-7,0.9999085137537002,1.0,-0.7783203125,6.8386,0.25,-0.4552512575673383
1023,huffman-flv-small-high-8,1.000001964246137,1.0,0.01171875,6.8386,0.25,0.0068544731377767
1024,huffman-flv-small-high-9,0.9999394165456076,3.0,-0.7783203125,13.6772,0.25,-0.2276256287836691
1025,huffman-flv-small-high-10,1.0000014563328128,2.0,0.0126953125,10.43928,0.2633333333333333,0.0046181391310851
1026,huffman-flv-small-high-11,0.9999790155385472,2.0,-0.18359375,10.30324,0.2533333333333333,-0.0703382791289566
1027,huffman-flv-small-high-12,1.000095497641046,2.0,0.919921875,10.32592,0.255,0.3493671038227957
1028,huffman-flv-small-high-14,1.000100590177592,2.0,1.0791015625,10.34859,0.2566666666666666,0.4062671148386449
1029,huffman-flv-small-high-15,0.999936690359459,3.0,-0.7783203125,13.6772,0.25,-0.2276256287836691
1030,huffman-flv-small-high-16,0.9999285697385204,2.0,-0.7783203125,10.2579,0.25,-0.3035008383782255
1031,huffman-flv-small-high-17,0.9999531953311644,3.0,-0.5234375,13.69987,0.25125,-0.1520695695165964
1032,huffman-flv-small-high-19,0.9999891705092256,3.0,-0.1337890625,13.6772,0.25,-0.0391276174948088
1033,huffman-flv-small-high-20,0.9999178391934674,2.0,-0.7783203125,10.28057,0.2516666666666666,-0.3008260722292133
1034,huffman-flv-small-high-21,0.9999861890310632,2.0,-0.1220703125,10.2579,0.25,-0.0476005079012273
1035,huffman-flv-small-high-23,0.9999079985718424,1.0,-0.7783203125,6.88394,0.255,-0.4433851137005615
1036,huffman-flv-small-high-24,0.999928566168754,2.0,-0.759765625,11.22903,0.32139,-0.2105256605114329
1037,huffman-flv-small-high-25,0.9999313332675672,2.0,-0.7783203125,10.93806,0.3,-0.2371902368122561
1038,huffman-flv-small-high-27,1.000183715293669,2.0,1.767578125,10.2579,0.25,0.689255354409772
1039,huffman-flv-small-high-28,1.0000689164653611,3.0,0.8623046875,13.79056,0.25625,0.2440141273026356
1040,huffman-flv-small-high-29,1.0001084600224015,1.0,0.677734375,6.8386,0.25,0.3964170298014213
